edgeID	source	target	Weight
583	8792911	1871218978856325309783	2
584	8793273	121413839418388394873939278	3
585	8793273	32327230988850727375607391566	1
586	8793273	7596272323199656276	3
587	8793271	121413839418388394873939278	1
588	8793271	7236828769517008193	1
589	8793271	478475809871	1
590	8793271	521516289502072804238679	1
591	8793271	7596272323199656276	1
592	8792954	478475809871	1
593	8792954	7236828769517008193	1
594	8792954	521516289502072804238679	1
595	8792954	7596272323199656276	1
596	8793004	521516289502072804238679	1
597	8792829	6911817	1
598	8793243	7596272323199656276	2
599	8792944	121413839418388394873939278	1
600	8792944	7236828769517008193	1
601	8792944	478475809871	1
602	8792944	521516289502072804238679	1
603	8792944	7596272323199656276	1
604	8793293	7596272323199656276	1
605	8792886	121413839418388394873939278	1
606	8792886	7236828769517008193	1
607	8792886	478475809871	1
608	8792886	7596272323199656276	1
609	8795080	6911817	1
610	8795052	1279346004	1
611	8795134	521258254549769236081730	1
612	8794880	7236828769517008193	1
613	8794776	2129690746452074391636	1
614	8794940	2129690746452074391636	1
615	8794835	521258254549769236081730	1
616	8795159	9147272411116019128754957019220	1
617	8795159	2110239420476267982670	1
618	8795159	6382923	1
619	8795300	549589403741468145774159	1
620	8793769	2129690746452074391636	1
621	8793766	478475809871	1
622	8793721	2055542346391535052884	1
623	8793731	2129690746452074391636	4
624	8793727	1279346004	1
625	8793727	28538242288608588	1
626	8793358	10138853285632664139027014703402515040461126	1
627	8793753	6382923	1
628	8793896	1279346004	1
629	8793439	478475809871	1
630	8793802	2036159982737939589204	1
631	8793851	1702193486	1
632	8793851	452924106574	1
633	8793851	1279346004	1
634	8793851	7596272323199656276	4
635	8793484	418430412884	1
636	8793569	121413839418388394873939278	1
637	8793569	7236828769517008193	1
638	8793569	478475809871	1
639	8793569	521516289502072804238679	1
640	8793569	7596272323199656276	1
641	8793589	1279346004	1
642	8793592	1279346004	1
643	8793633	6382923	1
644	8793685	1279346004	1
645	8793945	1702193486	1
646	8793381	111550525237587	1
647	8793815	521258254549769236081730	1
648	8791952	121413839418388394873939278	1
649	8791952	7236828769517008193	1
650	8791952	478475809871	1
651	8791952	521516289502072804238679	1
652	8791952	7596272323199656276	1
653	8791930	7305790108288971841	2
654	8791930	6382923	1
655	8792307	121413839418388394873939278	1
656	8792307	7236828769517008193	1
657	8792307	478475809871	1
658	8792307	521516289502072804238679	1
659	8792307	7596272323199656276	1
660	8792444	121413839418388394873939278	1
661	8792444	7236828769517008193	1
662	8792444	32327230988850727375607391566	4
663	8792444	7596272323199656276	2
664	8792028	2129690746452074391636	1
665	8792399	121413839418388394873939278	1
666	8792399	7596272323199656276	1
667	8792246	121413839418388394873939278	1
668	8792246	7236828769517008193	1
669	8792246	478475809871	1
670	8792246	521516289502072804238679	1
671	8792246	7596272323199656276	1
672	8792228	2129690746452074391636	1
673	8792228	1279346004	1
674	8792150	2129690746452074391636	1
675	8792159	521258254549769236081730	1
676	8792165	6382923	1
677	8792145	133479615488025765482357062	1
678	8791997	549589403741468145774159	1
679	8791997	6382923	4
680	8792200	521516289502072804238679	2
681	8792264	2129690746452074391636	1
682	8792264	521516289502072804238679	1
683	8792269	121413839418388394873939278	1
684	8792269	7236828769517008193	1
685	8792269	478475809871	1
686	8792269	521516289502072804238679	1
687	8792269	7596272323199656276	1
688	8792041	146759091242172238118479175	1
689	8792041	6911817	1
690	8792059	121413839418388394873939278	1
691	8792059	7236828769517008193	1
692	8792059	478475809871	1
693	8792059	521516289502072804238679	1
694	8792059	7596272323199656276	1
695	8791964	121413839418388394873939278	1
696	8791964	7236828769517008193	1
697	8791964	478475809871	1
698	8791964	521516289502072804238679	1
699	8791963	6382923	1
700	8792572	2129690746452074391636	1
701	8792536	121413839418388394873939278	2
702	8792740	521258254549769236081730	1
703	8794420	1279346004	1
704	8794510	121413839418388394873939278	1
705	8794510	1768581446	1
706	8794480	7305790108288971841	1
707	8794552	491261293377	1
708	8794338	8750038109912330062	1
709	8794347	121413839418388394873939278	1
710	8794229	6911817	1
711	8794360	1767991375	1
712	8794064	32306665193131823040923068483	2
713	8794703	7305790108288971841	1
714	8794246	2129690746452074391636	1
715	8794280	521258254549769236081730	1
716	8794531	549589403741468145774159	1
717	8794267	121413839418388394873939278	1
718	8793221	521258254549769236081730	1
719	8793149	6911817	1
720	8792914	478475809871	1
721	8792914	7236828769517008193	1
722	8792914	521516289502072804238679	1
723	8792914	7596272323199656276	1
724	8793289	452924106574	2
725	8792927	521258254549769236081730	1
726	8795090	1279346004	3
727	8795029	121413839418388394873939278	1
728	8795029	521258254549769236081730	1
729	8795203	6911817	1
730	8794798	1279346004	1
731	8794982	6911817	1
732	8794982	478475809871	2
733	8795017	1279346004	2
734	8795289	478475809871	1
735	8794730	2129690746452074391636	1
736	8794738	521516289502072804238679	3
737	8794731	2129690746452074391636	1
738	8794931	1279346004	1
739	8794836	478475809871	1
740	8794901	7236828769517008193	1
741	8794843	7305790108288971841	1
742	8793775	478475809871	1
743	8793355	34174957624059572495423734071046304001875	1
744	8793369	521258254549769236081730	1
745	8793916	1279346004	2
746	8793893	120265298635095	1
747	8793877	2129690746452074391636	1
748	8793485	2129690746452074391636	1
749	8793962	1279346004	7
750	8793588	521516289502072804238679	1
751	8793632	121413839418388394873939278	1
752	8794003	1279346004	5
753	8793535	478475809871	1
754	8793535	7236828769517008193	1
755	8793535	521516289502072804238679	1
